,File,Peaks
16,YESPET,"[507, 627, 759, 899, 1047, 1199, 1347, 1495, 1643, 1783, 1919, 2055, 2188, 2320, 2451, 2588, 2715, 2851, 2987, 3124, 3260, 3399, 3536, 3672, 3808, 3944, 4076, 4212, 4348, 4480, 4616, 4752, 4892, 5024, 5160, 5292, 5424, 5549, 5676, 5801, 5929, 6057, 6185, 6313, 6448, 6585, 6725, 6857, 6985, 7113, 7245, 7369, 7493, 7617, 7745, 7878, 8017, 8153, 8282, 8413, 8545, 8674, 8801, 8925, 9049, 9177, 9306, 9438, 9578, 9726, 9886, 10033, 10178, 10322, 10465, 10598, 10726, 10854, 10982, 11114, 11242, 11370, 11498, 11631, 11767]"
17,TJCYV8,"[359, 491, 627, 767, 903, 1036, 1171, 1311, 1447, 1583, 1723, 1859, 1999, 2135, 2267, 2399, 2531, 2667, 2803, 2935, 3063, 3195, 3327, 3462, 3603, 3739, 3886, 4034, 4178, 4315, 4455, 4598, 4739, 4867, 5022, 5162, 5302, 5446, 5586, 5722, 5854, 5990, 6122, 6254, 6382, 6509, 6641, 6781, 6917, 7050, 7185, 7325, 7465, 7597, 7725, 7853, 7981, 8109, 8237, 8361, 8493, 8625, 8765, 8897, 9029, 9157, 9289, 9420, 9548, 9673, 9801, 9932, 10068, 10200, 10332, 10464, 10596, 10728, 10860, 10988, 11120, 11252, 11380, 11504, 11632, 11764]"
18,5ZGKJF,"[235, 368, 503, 640, 775, 907, 1043, 1179, 1319, 1455, 1591, 1731, 1875, 2016, 2155, 2295, 2431, 2575, 2715, 2854, 2991, 3135, 3275, 3410, 3542, 3674, 3814, 3958, 4102, 4250, 4406, 4558, 4709, 4846, 4982, 5114, 5253, 5386, 5522, 5661, 5802, 5950, 6089, 6225, 6361, 6497, 6633, 6765, 6897, 7030, 7169, 7301, 7437, 7569, 7705, 7845, 7977, 8109, 8241, 8377, 8513, 8641, 8773, 8909, 9045, 9177, 9313, 9449, 9589, 9724, 9857, 9993, 10133, 10268, 10400, 10532, 10665, 10808, 10944, 11077, 11212, 11348, 11488, 11624, 11760]"
19,EVPRJ8,"[250, 386, 530, 670, 810, 946, 1085, 1218, 1346, 1478, 1610, 1753, 1898, 2042, 2189, 2341, 2489, 2637, 2782, 2933, 3073, 3205, 3337, 3469, 3605, 3749, 3885, 4017, 4153, 4289, 4425, 4561, 4692, 4824, 4956, 5089, 5220, 5353, 5489, 5632, 5772, 5908, 6044, 6176, 6312, 6448, 6576, 6708, 6844, 6984, 7120, 7256, 7396, 7535, 7672, 7803, 7932, 8044, 9052, 9183, 9319, 9455, 9599, 9739, 9879, 10023, 10171, 10311, 10447, 10584, 10723, 10852, 10982, 11111, 11245, 11383, 11523, 11667]"
20,CT7QRG,"[404, 515, 625, 738, 850, 963, 1076, 1187, 1298, 1409, 1519, 1629, 1737, 1845, 1954, 2063, 2173, 2283, 2392, 2503, 2613, 2725, 2838, 2949, 3061, 3172, 3282, 3390, 3497, 3603, 3709, 3816, 3923, 4030, 4135, 4243, 4350, 4459, 4567, 4673, 4780, 4887, 4995, 5103, 5210, 5315, 8981, 9088, 9194, 9298, 9403, 9509, 9614, 9721, 9826, 9932, 10039, 10145, 10252, 10359, 10463, 10569, 10675, 10780, 10888, 10994, 11102, 11211, 11321, 11432, 11543, 11652, 11761]"
21,EOBE3Q,"[2577, 2692, 2808, 2925, 3040, 3155, 3269, 3382, 3495, 3609, 3722, 3836, 3949, 4062, 4173, 4283, 4393, 4504, 4618, 4732, 4846, 4960, 5072, 5184, 5295, 5407, 5521, 5635, 5750, 5863, 5976, 6087, 6197, 6307, 6417, 6526, 6635, 6744, 6853, 6963, 7074, 7185, 7295, 7406, 7517, 7629, 7741, 7852, 7963, 8072, 8182, 8292, 8402, 8513, 8624, 8733, 8842, 8952, 9062, 9174, 9285, 9395, 9505, 9615, 9726, 9836, 9947, 10058, 10168, 10279, 10392, 10505, 10617, 10729, 10839, 10950, 11060, 11169, 11277, 11386, 11494, 11604, 11713]"
22,CNOAQM,"[238, 349, 459, 570, 681, 793, 904, 1016, 1128, 1241, 1354, 1467, 1579, 1691, 1803, 1913, 2024, 2134, 2245, 2356, 2467, 2578, 2690, 2804, 2918, 3033, 3146, 3260, 3373, 3487, 3601, 3715, 3830, 3938, 4055, 4167, 4278, 4390, 4503, 4616, 4729, 4841, 4954, 5065, 5176, 5287, 5398, 5509, 5621, 5732, 5843, 5955, 6067, 6179, 6292, 6405, 6518, 6630, 6743, 6854, 6964, 7075, 7186, 7296, 7407, 7517, 7628, 7739, 7849, 7960, 8070, 8180, 8290, 8400, 8510, 8621, 8732, 8843, 8953, 9063, 9173, 9284, 9394, 9505, 9616, 9726, 9838, 9950, 10062, 10173, 10284, 10396, 10507, 10619, 10730, 10841, 10952, 11063, 11174, 11284, 11395, 11506, 11631, 11726]"
23,OLH4YS,"[1771, 1895, 2023, 2149, 2276, 2404, 2532, 2661, 2790, 2920, 3049, 3176, 3302, 3428, 3554, 3681, 3807, 3934, 4061, 4189, 4318, 4447, 4574, 4700, 4826, 4952, 5078, 5204, 5329, 5452, 5577, 5701, 5827, 5952, 6077, 6201, 6326, 6450, 6576, 6699, 6821, 6943, 7066, 7189, 7313, 7438, 7563, 7690, 7815, 7940, 8063, 8184, 8307, 8429, 8549, 8669, 8789, 8907, 9026, 9144, 9264, 9383, 9504, 9624, 9745, 9865, 9985, 10105, 10226, 10346, 10466, 10586, 10707, 10829, 10953, 11075, 11198, 11320, 11444, 11569, 11692]"
24,41UWBZ,"[295, 416, 535, 654, 771, 889, 1006, 1123, 1242, 1363, 1479, 1597, 1715, 1831, 1951, 2072, 2192, 2313, 2434, 2554, 2674, 2795, 2916, 3036, 3158, 3277, 3398, 3518, 3518, 3631, 3748, 3862, 3975, 4091, 4209, 4326, 4442, 4559, 4674, 4790, 4908, 5022, 5022, 5254, 5370, 5484, 5601, 5720, 5838, 5958, 6079, 6198, 6316, 6438, 6561, 6679, 6799, 6918, 7038, 7158, 7277, 7399, 7521, 7639, 7762, 7877, 7994, 8109, 8109, 8226, 8342, 8575, 8575, 8693, 8812, 8979, 8979, 9171, 9288, 9406, 9523, 9757, 9878, 9996, 10112, 10112, 10230, 10341, 10458, 10575, 10695, 10853, 11057, 11178, 11299, 11425, 11533, 11650, 11768]"
25,RHYY0G,"[285, 285, 405, 526, 645, 764, 884, 1003, 1123, 1243, 1363, 1485, 1607, 1727, 1851, 1972, 2093, 2215, 2336, 2456, 2576, 2695, 2813, 2935, 3055, 3176, 3298, 3420, 3540, 3660, 3783, 3903, 4024, 4144, 4263, 4380, 4499, 4617, 4736, 4852, 4972, 5088, 5205, 5324, 5444, 5564, 5685, 5808, 5929, 6052, 6176, 6300, 6423, 6545, 6668, 6788, 6908, 7028, 7147, 7265, 7384, 7501, 7619, 7738, 7858, 7978, 8100, 8221, 8345, 8465, 8585, 8705, 8825, 8945, 9062, 9181, 9297, 9413, 9529, 9642, 9758, 9873, 9987, 10105, 10222, 10338, 10456, 10574, 10691, 10809, 10926, 11046, 11163, 11282, 11398, 11514, 11630]"
26,LMM64S,"[248, 371, 492, 616, 743, 867, 995, 1120, 1247, 1375, 1499, 1624, 1747, 1867, 1988, 2107, 2227, 2344, 2463, 2583, 2703, 2826, 2947, 3071, 3195, 3323, 3451, 3579, 3706, 3835, 3963, 4090, 4215, 4339, 4462, 4586, 4707, 4830, 4951, 5074, 5198, 5318, 5442, 5566, 5689, 5813, 5937, 6062, 6186, 6309, 6433, 6555, 6678, 6801, 6922, 7045, 7165, 7286, 7409, 7530, 7654, 7777, 7902, 8026, 8153, 8277, 8401, 8525, 8646, 8770, 8890, 9013, 9133, 9253, 9374, 9494, 9614, 9857, 9857, 9975, 10217, 10217, 10337, 10454, 10573, 10690, 10805, 10922, 11041, 11158, 11258, 11398, 11521, 11641, 11761]"
27,EJMWUP,"[213, 334, 453, 574, 696, 817, 938, 1060, 1180, 1300, 1421, 1541, 1663, 1783, 1903, 2023, 2143, 2250, 2383, 2503, 2622, 2740, 2859, 2979, 3099, 3219, 3339, 3459, 3581, 3699, 3819, 3939, 4059, 4175, 4291, 4405, 4520, 4635, 4751, 4867, 4983, 5101, 5219, 5338, 5458, 5578, 5694, 5811, 5929, 6047, 6163, 6280, 6396, 6512, 6630, 6746, 6864, 6982, 7099, 7218, 7336, 7454, 7573, 7690, 7810, 7930, 8050, 8170, 8290, 8410, 8529, 8646, 8765, 8883, 9000, 9117, 9232, 9345, 9458, 9574, 9690, 9810, 9931, 10054, 10178, 10302, 10424, 10545, 10664, 10781, 10898, 11014, 11131, 11247, 11363, 11481, 11598, 11719]"
28,GF61TV,"[249, 374, 498, 621, 743, 862, 981, 1098, 1216, 1333, 1451, 1570, 1691, 1813, 1935, 2057, 2181, 2304, 2425, 2549, 2673, 2794, 2917, 2917, 3040, 3161, 3285, 3408, 3529, 3653, 3776, 3900, 4022, 4145, 4268, 4389, 4511, 4632, 4753, 4876, 4997, 5120, 5241, 5364, 5488, 5610, 5732, 5856, 5976, 6096, 6218, 6338, 6458, 6580, 6700, 6821, 6945, 7068, 7189, 7313, 7436, 7557, 7680, 7802, 7924, 8045, 8168, 8288, 8408, 8528, 8649, 8770, 8892, 9012, 9132, 9252, 9372, 9490, 9609, 9728, 9848, 9969, 10092, 10212, 10335, 10456, 10456, 10700, 10821, 10944, 11064, 11184, 11304, 11425, 11545, 11665]"
29,5DWJ9U,"[330, 451, 574, 695, 817, 939, 1062, 1182, 1302, 1420, 1539, 1658, 1778, 1898, 2018, 2138, 2258, 2379, 2500, 2622, 2742, 2865, 2986, 3109, 3233, 3353, 3474, 3593, 3713, 3833, 3950, 4069, 4189, 4306, 4426, 4545, 4663, 4782, 4903, 5023, 5142, 5263, 5381, 5501, 5621, 5739, 5858, 5977, 6093, 6213, 6330, 6449, 6565, 6683, 6801, 6917, 7036, 7153, 7271, 7389, 7510, 7630, 7749, 7869, 7988, 8104, 8222, 8338, 8455, 8570, 8686, 8803, 8920, 9036, 9154, 9272, 9392, 9512, 9632, 9750, 9869, 9989, 10109, 10229, 10351, 10471, 10592, 10712, 10833, 10953, 11072, 11191, 11428, 11547, 11547, 11667, 11786]"
30,SFJ7DP,"[3569, 3712, 3853, 3997, 4109, 4281, 4424, 4565, 4565, 4708, 4848, 4988, 5125, 5264, 5401, 5537, 5676, 5813, 5952, 6088, 6227, 6363, 6363, 6500, 6636, 6771, 6904, 7036, 7168, 7300, 7432, 7564, 7696, 7831, 7963, 8095, 8227, 8359, 8488, 8620, 8752, 8884, 9016, 9148, 9280, 9412, 9547, 9679, 9812, 9947, 10080, 10212, 10344, 10476, 10608, 10739, 10867, 10995, 11123, 11248, 11372, 11496, 11619, 11744]"
31,D8B72L,"[255, 388, 524, 662, 799, 935, 1071, 1207, 1343, 1482, 1618, 1754, 1891, 2030, 2170, 2311, 2455, 2595, 2738, 2879, 3022, 3167, 3311, 3311, 3455, 3595, 3734, 3870, 4009, 4146, 4286, 4422, 4558, 4694, 4830, 4965, 5094, 5225, 5350, 5478, 5605, 5733, 5862, 5993, 6122, 6254, 6385, 6518, 6649, 6784, 6917, 7054, 7054, 7192, 7328, 7464, 7601, 7740, 7881, 7881, 8021, 8161, 8304, 8441, 8581, 8717, 8856, 8992, 8992, 9129, 9268, 9405, 9544, 9677, 9813, 9948, 10084, 10219, 10352, 10487, 10621, 10757, 10896, 11032, 11167, 11300, 11436, 11571, 11704]"
32,C7ZVFY,"[7887, 8028, 8167, 8303, 8438, 8572, 8707, 8841, 8976, 9111, 9248, 9387, 9523, 9657, 9790, 9920, 10051, 10186, 10322, 10457, 10591, 10725, 10860, 10994, 11130, 11263, 11393, 11522, 11653, 11653, 11784]"
33,I1ZPCG,"[278, 452, 618, 786, 967, 1146, 1318, 1489, 1669, 1846, 2019, 2201, 2389, 2569, 2740, 2911, 3084, 3258, 3426, 3588, 3757, 3933, 4117, 4293, 4462, 4637, 4818, 5009, 5187, 5356, 5356, 5520, 5692, 5873, 6053, 6217, 6374, 6528, 6677, 6677, 6839, 7023, 7204, 7377, 7552, 7715, 7875, 8036, 8200, 8363, 8519, 8681, 8848, 9015, 9179, 9339, 9504, 9683, 9870, 10048, 10223, 10400, 10578, 10744, 10907, 11075, 11259, 11439, 11608, 11783]"
34,DKHD9Z,"[366, 528, 687, 849, 1017, 1186, 1356, 1533, 1716, 1892, 2060, 2224, 2400, 2589, 2768, 2939, 3112, 3287, 3456, 3627, 3794, 3964, 4139, 4310, 4475, 4636, 4804, 4979, 5151, 5318, 5487, 5662, 5846, 6019, 6019, 6183, 6352, 6527, 6707, 6878, 7046, 7214, 7379, 7547, 7710, 7868, 8039, 8219, 8402, 8586, 8686, 8920, 9082, 9239, 9403, 9571, 9730, 9886, 10047, 10219, 10400, 10591, 10770, 10938, 11110, 11286, 11459, 11623]"
35,HE16BX,"[360, 544, 717, 886, 1057, 1237, 1417, 1589, 1757, 1928, 2100, 2268, 2429, 2600, 2782, 2977, 3165, 3336, 3498, 3665, 3832, 4021, 4201, 4372, 4550, 4731, 4922, 5114, 5290, 5454, 5618, 5785, 5951, 6127, 6302, 6465, 6638, 6806, 6985, 7157, 7322, 7486, 7655, 7830, 7997, 8155, 8310, 8471, 8634, 8798, 8959, 9126, 9298, 9298, 9472, 9639, 9800, 9956, 10113, 10273, 10430, 10585, 10759, 10942, 11128, 11299, 11463, 11636, 11820]"
36,HIZC53,"[254, 413, 585, 765, 945, 1109, 1278, 1453, 1622, 1793, 1960, 2120, 2280, 2449, 2617, 2784, 2945, 3110, 3274, 3445, 3605, 3762, 3922, 4081, 4245, 4401, 4560, 4725, 4898, 5066, 5230, 5400, 5573, 5745, 5911, 6070, 6229, 6398, 6398, 6584, 6770, 6940, 7104, 7270, 7443, 7616, 7776, 7933, 8098, 8269, 8441, 8602, 8761, 8921, 9081, 9237, 9386, 9534, 9685, 9844, 10008, 10164, 10318, 10478, 10638, 10798, 10953, 11105, 11258, 11413, 11570, 11808]"
37,WHSD28,"[238, 395, 555, 713, 884, 1066, 1240, 1421, 1606, 1782, 1956, 2136, 2312, 2480, 2640, 2792, 2937, 3080, 3233, 3393, 3558, 3725, 3725, 3885, 4049, 4049, 4208, 4369, 4525, 4673, 4828, 4993, 5172, 5347, 5511, 5676, 5840, 5992, 6136, 6273, 6412, 6563, 6724, 6888, 7051, 7220, 7391, 7564, 7724, 7880, 8035, 8191, 8340, 8489, 8640, 8799, 8967, 9135, 9291, 9455, 9616, 9776, 9928, 10074, 10226, 10388, 10546, 10703, 10867, 11036, 11198, 11356, 11515, 11677]"
38,WNNFX5,"[230, 400, 572, 750, 924, 1088, 1243, 1399, 1563, 1742, 1926, 2109, 2282, 2462, 2638, 2818, 2989, 3149, 3313, 3478, 3650, 3821, 3981, 4138, 4293, 4453, 4617, 4783, 4944, 5096, 5248, 5400, 5548, 5688, 5828, 5972, 6115, 6264, 6415, 6568, 6724, 6875, 7023, 7172, 7328, 7484, 7635, 7784, 7939, 8103, 8270, 8430, 8586, 8743, 8902, 9066, 9226, 9379, 9538, 9698, 9859, 10017, 10170, 10311, 10449, 10585, 10718, 10865, 11021, 11186, 11357, 11523, 11689]"
39,SRM8QN,"[341, 341, 499, 671, 841, 998, 1154, 1309, 1454, 1602, 1750, 1898, 2057, 2210, 2353, 2493, 2632, 2768, 2902, 3040, 3174, 3312, 3453, 3598, 3749, 3901, 4052, 4200, 4345, 4488, 4625, 4760, 4897, 5033, 5167, 5297, 5436, 5580, 5736, 5890, 6035, 6172, 6311, 6447, 6583, 6716, 6856, 6996, 7128, 7264, 7407, 7556, 7710, 7856, 8011, 8179, 8344, 8499, 8644, 8792, 8939, 9087, 9234, 9375, 9510, 9643, 9777, 9911, 10050, 10194, 10341, 10487, 10635, 10781, 10922, 11059, 11193, 11326, 11462, 11601, 11739]"
40,PO9POB,"[346, 483, 614, 746, 884, 1036, 1200, 1368, 1536, 1692, 1844, 1995, 2148, 2304, 2456, 2599, 2733, 2856, 3012, 3164, 3312, 3459, 3611, 3772, 3933, 4084, 4228, 4369, 4516, 4664, 4815, 4957, 5100, 5100, 5241, 5381, 5520, 5653, 5792, 5932, 6073, 6216, 6359, 6501, 6637, 6769, 6899, 7024, 7148, 7276, 7417, 7561, 7733, 7917, 8089, 8265, 8445, 8625, 8785, 8950, 9114, 9114, 9965, 10124, 10294, 10464, 10621, 10777, 10938, 11122, 11294, 11461, 11622, 11785]"
41,WWPMON,"[798, 945, 1089, 1226, 1366, 1505, 1641, 1770, 1902, 2035, 2173, 2314, 2458, 2598, 2742, 2886, 3031, 3177, 3326, 3474, 3623, 3771, 3915, 4055, 4198, 4344, 4503, 4658, 4810, 4962, 5119, 5279, 5434, 5583, 5732, 5882, 6038, 6190, 6340, 6499, 6675, 6844, 7012, 7191, 7372, 7543, 7695, 7844, 7988, 8128, 8265, 8404, 8551, 8704, 8860, 9012, 9172, 9337, 9493, 9645, 9793, 9944, 10096, 10249, 10412, 10584, 10745, 10900, 11060, 11226, 11388, 11542, 11704]"
42,FFZWDH,"[324, 460, 597, 735, 872, 1016, 1159, 1299, 1439, 1583, 1728, 1871, 2009, 2147, 2289, 2432, 2575, 2715, 2861, 3008, 3157, 3307, 3459, 3607, 3748, 3888, 4031, 4173, 4312, 4453, 4600, 4748, 4899, 5048, 5201, 5352, 5495, 5640, 5793, 5955, 6108, 6259, 6413, 6568, 6716, 6865, 7023, 7180, 7331, 7483, 7644, 7807, 7960, 8113, 8264, 8412, 8561, 8717, 8881, 9049, 9221, 9385, 9548, 9717, 9876, 10025, 10172, 10321, 10481, 10648, 10813, 10971, 11120, 11268, 11420, 11576, 11745]"
43,IWAQBM,"[350, 510, 662, 819, 994, 1183, 1363, 1535, 1719, 1902, 2065, 2230, 2398, 2562, 2719, 2885, 3051, 3209, 3361, 3517, 3517, 3670, 3818, 3966, 4114, 4265, 4413, 4550, 4685, 4818, 4954, 5086, 5214, 5477, 5610, 5750, 5898, 6054, 6214, 6374, 6524, 6661, 6794, 6926, 7057, 7192, 7325, 7460, 7596, 7734, 7877, 8021, 8165, 8308, 8444, 8576, 8708, 8841, 8973, 9105, 9240, 9382, 9529, 9681, 9836, 9988, 10132, 10269, 10404]"
